car_name,판매량,year
현대 아이오닉5 프레스티지,"27,399",2022
기아 EV6,"24,852",2022
현대 포터2 일렉트릭,"20,272",2022
기아 봉고3 EV,"12,719",2022
현대 아이오닉6 롱레인지 2WD,"11,289",2022
현대 넥쏘,"10,164",2022
기아 니로 EV,"7,454",2022
테슬라 모델3 롱레인지,"7,323",2022
테슬라 모델Y 롱레인지,"7,248",2022
제네시스 GV60 2WD,"5,639",2022
현대 아이오닉5 프레스티지,"22,596",2021
현대 포터2 일렉트릭,"15,604",2021
기아 EV6,"10,888",2021
기아 봉고3 EV,"10,498",2021
테슬라 모델3 퍼포먼스,"8,912",2021
테슬라 모델Y 롱레인지,"8,894",2021
기아 니로 EV,"7,171",2021
현대 코나 일렉트릭,"1,438",2021
아우디 이트론 55 콰트로,"1,354",2021
제네시스 G80 EV,"1,326",2021
테슬라 모델3 스탠다드,"11,003",2020
현대 포터2 일렉트릭,"9,037",2020
현대 코나 일렉트릭,"8,066",2020
현대 넥쏘,"5,786",2020
기아 봉고3 EV,"5,357",2020
기아 니로 EV,"3,199",2020
쉐보레 볼트 EV,"1,579",2020
현대 아이오닉 일렉트릭,"1,509",2020
기아 쏘울 EV,380,2020
르노 조에,192,2020